0,2,2
1,0,2
2,3,2
3,3,3
4,0,0
5,1,1
6,3,2
7,3,3
8,1,1
9,0,3
10,3,3
11,0,3
12,3,2
13,1,1
14,0,1
15,2,3
16,2,0
17,0,3
18,0,3
19,2,2
20,0,2
21,1,2
22,1,3
23,2,0
24,0,2
25,0,3
26,1,3
27,2,1
28,3,0
29,1,0
30,1,3
31,3,1
32,1,1
33,1,1
34,3,0
35,0,3
36,3,3
37,1,1
38,1,3
39,1,2
40,2,2
41,3,0
42,0,0
43,0,0
44,3,1
45,1,2
46,1,1
47,0,1
48,1,1
49,2,3
50,2,0
51,0,3
52,2,0
53,1,0
54,0,1
55,3,1
56,3,3
57,0,3
58,1,0
59,1,0
60,3,2
61,2,0
62,3,0
63,2,3
64,0,0
65,1,3
66,2,2
67,1,3
68,2,3
69,0,0
70,2,3
71,1,1
72,2,0
73,1,0
74,2,2
75,0,0
76,0,0
77,0,1
78,0,0
79,1,2
80,3,2
81,2,0
82,2,0
83,2,2
84,2,2
85,1,3
86,2,1
87,0,0
88,3,1
89,3,0
90,0,1
91,0,1
92,3,0
93,1,2
94,2,1
95,0,1
96,0,1
97,3,1
98,2,2
99,0,1
