0,2,2
1,3,3
2,1,1
3,3,1
4,0,2
5,1,0
6,1,0
7,0,3
8,3,1
9,0,1
10,0,3
11,2,3
12,2,3
13,0,3
14,2,2
15,2,0
16,0,0
17,3,0
18,1,2
19,3,2
20,3,0
21,0,1
22,2,3
23,1,1
24,2,1
25,2,1
26,1,1
27,0,2
28,2,2
29,0,1
30,3,1
31,0,1
32,1,1
33,3,0
34,2,1
35,0,3
36,0,1
37,0,3
38,3,2
39,3,2
40,1,0
41,3,1
42,1,0
43,1,0
44,1,0
45,1,2
46,0,1
47,2,1
48,3,3
49,2,3
50,2,0
51,0,2
52,3,1
53,2,0
54,3,1
55,1,1
56,3,0
57,1,3
58,0,0
59,3,0
60,0,2
61,3,3
62,2,3
63,2,0
64,2,1
65,2,3
66,3,1
67,3,1
68,1,2
69,3,3
70,3,0
71,3,3
72,3,0
73,2,3
74,1,1
75,2,3
76,3,0
77,3,3
78,2,2
79,2,1
80,3,2
81,3,1
82,3,2
83,0,1
84,2,2
85,0,0
86,1,0
87,0,3
88,3,1
89,2,2
90,0,0
91,1,1
92,1,1
93,1,2
94,1,2
95,3,3
96,3,0
97,1,0
98,1,2
99,1,3
