0,3,4,44
1,4,5,19
2,7,3,28
3,2,8,86
4,1,0,90
5,3,6,60
6,1,9,54
7,3,4,70
8,9,6,50
9,7,5,65
10,2,9,40
11,3,2,29
12,4,5,35
13,8,4,18
14,9,1,60
15,1,5,58
16,3,8,52
17,9,9,26
18,6,2,37
19,9,6,58
20,6,2,79
21,2,1,50
22,4,4,21
23,7,5,67
24,3,9,33
25,9,4,53
26,7,0,65
27,2,1,96
28,8,7,7
29,1,6,26
30,0,1,80
31,5,7,44
32,6,5,20
33,5,6,3
34,9,6,70
35,0,4,64
36,4,1,43
37,8,9,45
38,6,8,91
39,1,6,28
40,1,9,69
41,1,3,88
42,5,2,88
43,8,8,1
44,1,6,58
45,1,8,35
46,2,0,33
47,0,3,17
48,0,4,64
49,2,5,53
50,1,8,6
51,8,7,3
52,9,6,24
53,3,3,94
54,5,6,45
55,2,3,56
56,2,4,64
57,0,5,55
58,5,2,36
59,8,0,0
60,8,6,65
61,4,9,68
62,2,5,8
63,9,5,63
64,3,1,18
65,1,6,71
66,3,0,28
67,9,3,12
68,8,8,94
69,7,7,79
70,9,5,10
71,6,8,8
72,5,3,73
73,3,5,77
74,3,1,98
75,5,4,25
76,8,5,58
77,1,5,87
78,3,2,44
79,5,8,62
80,2,7,78
81,7,8,7
82,6,6,71
83,6,8,36
84,2,6,0
85,1,3,96
86,6,8,97
87,5,5,49
88,9,8,79
89,3,0,99
90,0,1,44
91,2,9,16
92,6,6,49
93,6,8,5
94,3,0,60
95,7,9,18
96,8,0,9
97,7,9,16
98,8,2,6
99,0,7,66
